step,loss
10,15.17985
20,3.32655
30,2.82668
40,2.58437
50,2.46168
60,2.19237
70,2.59933
80,2.57752
90,2.53576
100,2.63633
110,2.58920
120,2.54016
130,2.51616
140,2.49332
150,2.60165
160,2.46424
170,2.34101
180,2.42029
190,2.58227
200,2.67443
210,2.38903
220,2.25880
230,2.42689
240,2.55118
250,2.54994
260,2.53341
270,2.55501
280,2.55905
290,2.53066
300,2.54548
310,2.44791
320,2.37842
330,2.29748
340,2.50750
350,2.47000
360,2.34788
370,2.58922
380,2.40966
390,2.44072
400,2.41263
410,2.56440
420,2.49482
430,2.45284
440,2.50864
450,2.42716
460,2.56880
470,2.40106
480,2.19296
490,2.47319
500,2.41984
510,2.18218
520,2.44528
530,2.37839
540,2.51546
550,2.49655
560,2.31673
570,2.11343
580,2.36965
590,2.19170
600,2.29900
610,2.23668
620,2.13094
630,2.11283
640,2.25164
650,2.40070
660,2.48853
670,2.59272
680,2.29250
690,2.43733
700,2.47212
710,2.43834
720,2.25962
730,2.06343
740,2.33226
750,2.27181
760,2.04953
770,2.26126
780,2.27167
790,2.25195
800,2.16790
810,2.33283
820,2.45537
830,2.46453
840,2.40272
850,2.40150
860,2.25102
870,2.19402
880,2.31558
890,2.28601
900,2.29764
910,2.41472
920,2.39097
930,2.26656
940,2.21870
950,2.40805
960,2.41536
970,2.40484
980,2.44434
990,2.42917
1000,2.02255
